,name,address,price,rating,amenities
43,OYO 6790 Hotel subha Residency,"Bangalore, Bangalore",₹929,,"TV, Geyser, CCTV Cameras"
44,OYO 63711 Chetana Clove,"Near Shanti Niketan School, Maruthinagar, Bangalore",₹1666,(853 Ratings),"Reception, Daily Housekeeping, AC"
45,OYO 66612 Jai Comforts,"Near Laggere bridge, Narasimhaswamy Layout, Bangalore",₹1406,(501 Ratings),"Private Entrance, Reception, Free Wifi"
46,OYO 10522 Varcity Emerald,"Near KEB Colony, BTM Layout 1, Bangalore",₹647,(812 Ratings),"Reception, Free Wifi, Power backup"
47,OYO 554 Hotel Red Carpet Residence,"Near Manipal Centre, Ulsoor Road, Bangalore",₹1463,(536 Ratings),"AC, TV, Mini Fridge"
48,OYO Townhouse 042 Urvashi Theatre,"Near Lalbagh, Doddamavalli, Bangalore",₹1307,(620 Ratings),"Reception, Free Wifi, Power backup"
49,OYO 18544 Amm Residency,"Mavalli, Bengaluru",₹1396,(723 Ratings),"Parking Facility, Free Wifi, Twin Single Bed"
50,Capital O 19360 Sai Suites Inn,"Near Kanaka Nagar, Nagavara, Bangalore",₹2059,(555 Ratings),"Parking Facility, Reception, Free Wifi"
51,OYO 78921 VSV Avenue Hennur,"Kacharkanahalli, Bangalore",₹845,(217 Ratings),"Private Entrance, Free Wifi, Power backup"
52,OYO 63230 Exotica Hotels,"Near Jayadeva Flyover, BTM Layout, Bangalore",₹1216,(777 Ratings),"Private Entrance, Reception, Free Wifi"
53,CAPITAL O75134 Kings Suits,"Near Itsy Bitsy, Sector 3, Bangalore",₹1421,(623 Ratings),"Parking Facility, Reception, Free Wifi"
54,OYO 431 Hotel Maple In,"Near Barista Coffee Bar, Koramangala, Bangalore",₹1711,,"AC, AC, TV"
55,OYO 8737 King Suites,"Kalyan Nagar, Bangalore",₹1216,(110 Ratings),"Free Wifi, Geyser, CCTV Cameras"
56,SPOT ON 39359 KRISHNAA COMFORTS,"Shivaji Nagar, Bangalore",₹845,(170 Ratings),"Reception, Queen Sized Bed, Caretaker"
57,OYO 12761 High Street,"Near Kalyan silks commercial street, Bangalore",₹1013,(451 Ratings),"Free Wifi, Power backup, Card Payment"
58,OYO Townhouse 180 Jayanagar,"Near Sagar Hospital, Tilak Nagar, Bangalore",₹2239,(992 Ratings),"Free Wifi, AC, TV"
59,OYO 62942 The L I T Hotel,"Near Robert Bosch Company, Mangammanapalya, Bangalore",₹1375,,"Reception, Free Wifi, Power backup"
